unit,factor,r,p,bucket,partial_r,partial_p
102,extremity,0.11945930315565795,2.344736960351548e-17,moderate,0.11974151855683493,1.9713713523239148e-17
103,extremity,-0.029301813233151314,0.038276831144239215,weak,-0.029296713080279573,0.03831049768879133
104,extremity,0.10431730095321388,1.4174412295801897e-13,moderate,0.10459235185461432,1.2227841564254543e-13
105,extremity,0.012122758906422101,0.391430700566996,weak,0.012223727789061434,0.38749766695076976
106,extremity,-0.1671826216329147,1.1485492652787103e-32,moderate,-0.1678295579663849,6.553689557521243e-33
107,extremity,-0.5072463687660193,0.0,strong,-0.5080678341771918,0.0
108,extremity,-0.4774649788541956,3.6910339616940318e-283,strong,-0.4798412201135648,2.3036460962019795e-286
109,extremity,-0.12730849401278715,1.616064754752282e-19,moderate,-0.12786607252520188,1.1210706424438395e-19
110,extremity,0.17732441453365091,1.3393352780456563e-36,moderate,0.17750270010105607,1.1365020423945729e-36
111,extremity,-0.20854187746010772,2.9844091120627453e-50,moderate,-0.2096354842844332,8.986370357769405e-51
112,extremity,0.17602273845485364,4.41885989835681e-36,moderate,0.17639596143502403,3.141064647559073e-36
113,extremity,0.09598340972212785,1.0385083961484042e-11,weak,0.09619399921240511,9.357579510276267e-12
114,extremity,0.09103281899198115,1.1275722142409642e-10,weak,0.09125968677278656,1.0135613652833121e-10
115,extremity,-0.45312793785402306,9.32715104453806e-252,strong,-0.4553581217943717,1.5740510585125243e-254
116,extremity,-0.26781924336387475,6.99858695589438e-83,moderate,-0.2692178490387027,9.209658439448768e-84
117,extremity,-0.023433773391564248,0.0975536063393932,weak,-0.02339939709944874,0.09804625811607814
118,extremity,0.1894134224201409,1.3160779499453295e-41,moderate,0.18966038004000169,1.0311817839955867e-41
119,extremity,-0.15395964869622342,6.703076588969744e-28,moderate,-0.1546434163823021,3.8885042123919863e-28
120,extremity,-0.5125062907330119,0.0,strong,-0.5129287923512484,0.0
121,extremity,0.19346460697304177,2.3052391447366188e-43,moderate,0.19365420461091906,1.903429299013992e-43
122,extremity,-0.025276792858284783,0.07390875624155435,weak,-0.02525338110678007,0.07417669260351997
123,extremity,-0.19976926553955232,3.548238901704286e-46,moderate,-0.20081691639965263,1.183732773912407e-46
